id,chanTitle,viewCount,time_posted,day
cSp1dM2Vj48,Warner Bros. Pictures,2699862,06:00:17 PM,Sunday
A8HLnDP6uRM,Saturday Night Live,1333889,08:30:47 AM,Sunday
S-4rhjO6xYg,Bad Lip Reading,1772653,12:03:46 AM,Sunday
ZWAkzvL5Ho4,Poppy,776077,01:53:29 AM,Sunday
Ep6-bNu16_I,Safiya Nygaard,2007662,05:55:09 AM,Sunday
QK_iX5cPDhE,Netflix,638814,09:17:14 PM,Saturday
UVNIEszp2UQ,Star Wars,514420,02:40:15 AM,Sunday
X3gKYTc6lbw,jacksfilms,937796,11:31:50 PM,Saturday
fuHcdFPBKy0,FBE,3383012,10:00:01 PM,Friday
bo8OYPYRTIY,Awkward Puppets,460875,05:30:08 PM,Saturday
9v_rtaye2yY,MigosVEVO,11042384,02:12:48 AM,Friday
1bSDtlARvPI,Tasty,314882,11:00:01 PM,Saturday
6i2cebTn0nc,Rosanna Pansino,1245568,03:09:48 PM,Saturday
oiC_HG3u-nk,Guardian News,561074,01:25:11 PM,Saturday
00nmxR1mxIA,The Late Show with Stephen Colbert,671070,08:35:00 AM,Saturday
UAJDrWVyOoA,CollegeHumor,508737,05:30:00 PM,Saturday
ta6sV6WrElE,Simply Nailogical,2336185,04:12:57 PM,Saturday
vn9mMeWcgoM,Universal Pictures,29093647,01:44:25 AM,Friday
iGXYZwZEZa0,Matthias Wandel,1653342,12:30:01 PM,Friday
JBDWIGpKnwM,nigahiga,2328510,07:21:58 PM,Friday
QsLmJq8cHlA,IGN,217955,08:00:02 PM,Saturday
aj8mN_7Apcw,20th Century Fox,5149752,07:30:09 PM,Friday
K7XsnDRtAcw,The Dodo,114459,07:00:01 PM,Saturday
Zzi4EQKBbOY,SciShow,173899,10:00:01 PM,Saturday
vglAsbxMX_Q,jennxpenn,381165,07:00:03 PM,Saturday
Ub53c95Soqk,The Tonight Show Starring Jimmy Fallon,233916,11:00:02 AM,Saturday
H4CkXh3FSo8,Boldly,298119,04:00:24 PM,Saturday
RUbWdNGaYEg,euronews (in English),10304,12:39:34 PM,Sunday
Zi9MkiQzl20,BBC,145603,06:56:37 PM,Friday
56KYMMGudcU,EminemVEVO,6230435,05:00:01 AM,Friday
uwUchGQRXKM,Desi Perkins,496030,01:53:43 AM,Saturday
a9B4AgwYG4E,Henry Prince Mak,70574,04:28:01 PM,Saturday
aphpJi5jKrM,BuzzFeedVideo,422725,01:00:03 AM,Saturday
__4c1JCHvaQ,First We Feast,3396454,04:03:12 PM,Thursday
NyNQLRhsAsk,Late Night with Seth Meyers,1604096,02:00:00 AM,Friday
Bs5Ml7_2wT0,thegameawards,1413315,08:23:49 AM,Friday
8H0alk0e0tg,John Campea,39283,06:12:21 PM,Saturday
EZSCtgfmEO0,Vox,923777,01:01:11 PM,Friday
vW7H-DKivX8,The Late Late Show with James Corden,2404718,05:44:20 AM,Friday
dyBFAX4SDEc,Nintendo,1738667,02:31:28 AM,Friday
ySBjb4_JGtY,CupcakeJemma,72997,06:00:06 PM,Saturday
bye513KciIk,TheEllenShow,552445,02:00:22 PM,Friday
Sqbv7cCM5AI,Björk,360144,03:02:33 PM,Friday
oXE-ssvbhQA,MoreZoella,965027,04:00:07 PM,Friday
eYJCjVkOImU,SamSmithWorldVEVO,1452753,12:01:00 AM,Friday
Y26pMy4jf8U,James Charles,740607,09:00:54 PM,Friday
2jhwGiO5XJ8,LIVEKellyandRyan,56853,06:52:02 PM,Friday
jibff9m0SjQ,Jimmy Kimmel Live,507122,12:00:06 PM,Friday
OVa-sqcDYZ4,Jenny Nicholson,112550,01:40:07 PM,Friday
inZzcTXYowY,LouisTomlinsonVEVO,2290989,04:00:04 PM,Friday
qhQqaLZnGoc,RiceGum,2044253,10:05:53 PM,Sunday
vn9mMeWcgoM,Universal Pictures,29093647,01:44:25 AM,Friday
FlsCjmMhFmw,YouTube Spotlight,113282973,05:58:51 PM,Wednesday
S-4rhjO6xYg,Bad Lip Reading,1772653,12:03:46 AM,Sunday
cSp1dM2Vj48,Warner Bros. Pictures,2699862,06:00:17 PM,Sunday
9v_rtaye2yY,MigosVEVO,11042384,02:12:48 AM,Friday
bvhBIsmzhwE,Troom Troom,3049129,03:00:02 PM,Sunday
w4AImq08j9o,PewDiePie,11199177,05:18:56 PM,Thursday
iGXYZwZEZa0,Matthias Wandel,1653342,12:30:01 PM,Friday
fuHcdFPBKy0,FBE,3383012,10:00:01 PM,Friday
Mej6I6AWOhk,jacksfilms,724819,08:32:02 PM,Sunday
xLserXBaKV8,LATX,139709,01:38:40 PM,Wednesday
CnMQzyc8tVg,BuzzFeedBlue,626992,04:00:10 PM,Sunday
aj8mN_7Apcw,20th Century Fox,5149752,07:30:09 PM,Friday
JBDWIGpKnwM,nigahiga,2328510,07:21:58 PM,Friday
4mYcJaIOe7s,BuzzFeedVideo,1859825,07:00:00 PM,Saturday
zlJJbGDv5Pg,DanTDM,1364806,06:16:41 PM,Saturday
Ep6-bNu16_I,Safiya Nygaard,2007662,05:55:09 AM,Sunday
tzq7TskZ8Wc,Mcfly & Carlito,2020039,09:01:13 AM,Sunday
__4c1JCHvaQ,First We Feast,3396454,04:03:12 PM,Thursday
RyUUVSzesZU,Classical Songs,1203733,08:46:19 AM,Saturday
-oOlAGKBXnA,Gus Johnson,109629,11:17:29 PM,Sunday
pSRvA_tyQak,CrazyRussianHacker,991380,06:02:45 PM,Sunday
UVDoJbpINas,Christmas Songs Collection,539447,08:46:55 AM,Sunday
QWce9T6lINs,KeeperAction,1463282,11:54:22 PM,Friday
a5g6W5a9_Bo,The King of Random,1345686,03:00:01 PM,Saturday
TeY3ijusHns,中国浙江卫视官方频道 Zhejiang TV Official Channel - 欢迎订阅 -,446044,08:26:02 PM,Saturday
hONq-41k0Og,MTV,1345113,05:00:04 AM,Friday
xb8IW_w4XAU,感谢订阅中剧独播,59887,04:00:08 PM,Sunday
cPYXqBaqUgU,Tasty,477882,05:00:50 PM,Saturday
9ND-Kmd60t8,Speed Records,2780501,04:30:00 AM,Saturday
QK_iX5cPDhE,Netflix,638814,09:17:14 PM,Saturday
1YdB1q3c2C0,NORMAN FAIT DES VIDÉOS,4409664,04:39:38 PM,Friday
00M6gHlkeko,江苏卫视官方频道China JiangsuTV Official Channel,124697,04:00:01 PM,Saturday
Y5M1i3UzkjI,IGN,973756,09:55:46 AM,Friday
7N3ERfi6WHM,FilmSelect Trailer,1877872,01:48:02 AM,Friday
ZQc34LzQeZ8,Logan Paul Vlogs,5085339,10:33:27 PM,Thursday
tx2B7FI7X3U,Music Box,422364,11:09:50 AM,Saturday
H9KDcSp6yyE,The Late Show with Stephen Colbert,659283,08:35:01 AM,Saturday
jhQNfvvXP5o,Mo-g,59429,11:21:18 PM,Saturday
i8xcbeX-URw,Pressa,268987,11:52:44 PM,Friday
WWWEErdA2EQ,Toronto FC,70739,12:41:36 AM,Sunday
ex_sBZXU6iU,H3 Podcast,592820,08:18:11 PM,Saturday
oiC_HG3u-nk,Guardian News,561074,01:25:11 PM,Saturday
2lpMOn3YbwI,Jazzy B Records,5017981,04:30:00 AM,Thursday
GMtDeNXn7Uc,SORTEDfood,119018,04:00:02 PM,Sunday
Z1ZUWfsIsRI,Comment Awards,408266,07:00:02 PM,Saturday
VY6KwlWuv2Y,GameGrumps,194795,06:00:03 PM,Sunday
vv8LUSqT3JQ,Mark Wiens,214691,01:00:09 PM,Sunday
jxRBzs9C3eU,Vat19,500238,12:30:02 PM,Saturday
